match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Monday, 19 August",20:30 (IST),Match 50 - Completed ,U.P. Yoddha,Jaipur Pink Panthers,31- 24,"Jawaharlal Nehru Indoor Stadium, Chennai",31,24,August
"Wednesday, 21 August",19:30 (IST),Match 51 - Completed ,Puneri Paltan,Bengaluru Bulls,31- 23,"Jawaharlal Nehru Indoor Stadium, Chennai",31,23,August
"Wednesday, 21 August",20:30 (IST),Match 52 - Completed ,Tamil Thalaivas,Jaipur Pink Panthers,26- 28,"Jawaharlal Nehru Indoor Stadium, Chennai",26,28,August
"Thursday, 22 August",19:30 (IST),Match 53 - Completed ,Bengal Warriors,Patna Pirates,35- 26,"Jawaharlal Nehru Indoor Stadium, Chennai",35,26,August
"Friday, 23 August",19:30 (IST),Match 54 - Completed ,Gujarat Fortunegiants,Patna Pirates,29- 26,"Jawaharlal Nehru Indoor Stadium, Chennai",29,26,August
"Friday, 23 August",20:30 (IST),Match 55 - Completed ,Tamil Thalaivas,U Mumba,24- 29,"Jawaharlal Nehru Indoor Stadium, Chennai",24,29,August
"Saturday, 24 August",19:30 (IST),Match 56 - Completed ,Dabang Delhi K.C.,Bengaluru Bulls,33- 31,"Thyagaraj Sports Complex, Delhi",33,31,August
"Saturday, 24 August",20:30 (IST),Match 57 - Completed ,Jaipur Pink Panthers,Telugu Titans,21- 24,"Thyagaraj Sports Complex, Delhi",21,24,August
"Sunday, 25 August",19:30 (IST),Match 58 - Completed ,Jaipur Pink Panthers,Bengaluru Bulls,30- 41,"Thyagaraj Sports Complex, Delhi",30,41,August
"Sunday, 25 August",20:30 (IST),Match 59 - Completed ,Dabang Delhi K.C.,U.P. Yoddha,36- 27,"Thyagaraj Sports Complex, Delhi",36,27,August
"Monday, 26 August",19:30 (IST),Match 60 - Completed ,Bengal Warriors,Haryana Steelers,33- 36,"Thyagaraj Sports Complex, Delhi",33,36,August
"Monday, 26 August",20:30 (IST),Match 61 - Completed ,U.P. Yoddha,Puneri Paltan,35- 30,"Thyagaraj Sports Complex, Delhi",35,30,August
"Wednesday, 28 August",19:30 (IST),Match 62 - Completed ,Gujarat Fortunegiants,Haryana Steelers,25- 41,"Thyagaraj Sports Complex, Delhi",25,41,August
"Wednesday, 28 August",20:30 (IST),Match 63 - Completed ,Dabang Delhi K.C.,U Mumba,40- 24,"Thyagaraj Sports Complex, Delhi",40,24,August
"Thursday, 29 August",19:30 (IST),Match 64 - Completed ,Bengal Warriors,Tamil Thalaivas,35- 26,"Thyagaraj Sports Complex, Delhi",35,26,August
"Friday, 30 August",19:30 (IST),Match 65 - Completed ,Telugu Titans,Puneri Paltan,27- 34,"Thyagaraj Sports Complex, Delhi",27,34,August
"Friday, 30 August",20:30 (IST),Match 66 - Completed ,Dabang Delhi K.C.,Patna Pirates,38- 35,"Thyagaraj Sports Complex, Delhi",38,35,August
"Saturday, 31 August",19:30 (IST),Match 67 - Completed ,Bengaluru Bulls,Gujarat Fortunegiants,23- 32,"Sree Kanteerava Stadium, Bengaluru",23,32,August
"Saturday, 31 August",20:30 (IST),Match 68 - Completed ,U Mumba,Jaipur Pink Panthers,47- 21,"Sree Kanteerava Stadium, Bengaluru",47,21,August
