match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Friday, 22 July",20:00 (IST),Match 46 - Completed ,Jaipur Pink Panthers,Patna Pirates,29- 22,"DOME@NSCI SVP Stadium, Mumbai",29,22,Season 4
"Friday, 22 July",21:00 (IST),Match 47 - Completed ,U Mumba,Bengal Warriors,27- 31,"DOME@NSCI SVP Stadium, Mumbai",27,31,Season 4
"Saturday, 23 July",20:00 (IST),Match 48 - Completed ,Patna Pirates,Puneri Paltan,31- 28,"DOME@NSCI SVP Stadium, Mumbai",31,28,Season 4
"Saturday, 23 July",21:00 (IST),Match 49 - Completed ,U Mumba,Bengaluru Bulls,27- 28,"DOME@NSCI SVP Stadium, Mumbai",27,28,Season 4
"Sunday, 24 July",20:00 (IST),Match 50 - Completed ,Dabang Delhi K.C.,Bengal Warriors,41- 20,"Thyagaraj Sports Complex, Delhi",41,20,Season 4
"Sunday, 24 July",21:00 (IST),Match 51 - Completed ,Telugu Titans,Jaipur Pink Panthers,35- 23,"Thyagaraj Sports Complex, Delhi",35,23,Season 4
"Monday, 25 July",20:00 (IST),Match 52 - Completed ,Dabang Delhi K.C.,Patna Pirates,31- 32,"Thyagaraj Sports Complex, Delhi",31,32,Season 4
"Tuesday, 26 July",20:00 (IST),Match 53 - Completed ,Patna Pirates,Telugu Titans,25- 46,"Thyagaraj Sports Complex, Delhi",25,46,Season 4
"Tuesday, 26 July",21:00 (IST),Match 54 - Completed ,Dabang Delhi K.C.,Puneri Paltan,34- 39,"Thyagaraj Sports Complex, Delhi",34,39,Season 4
"Wednesday, 27 July",20:00 (IST),Match 55 - Completed ,Puneri Paltan,Bengaluru Bulls,36- 33,"Thyagaraj Sports Complex, Delhi",36,33,Season 4
"Wednesday, 27 July",21:00 (IST),Match 56 - Completed ,Dabang Delhi K.C.,U Mumba,34- 38,"Thyagaraj Sports Complex, Delhi",34,38,Season 4
"Friday, 29 July",20:00 (IST),Semi-Final 1 - Completed ,Patna Pirates,Puneri Paltan,37- 33,"Gachibowli Indoor Stadium, Hyderabad",37,33,Season 4
"Friday, 29 July",21:00 (IST),Semi-Final 2 - Completed ,Telugu Titans,Jaipur Pink Panthers,24- 34,"Gachibowli Indoor Stadium, Hyderabad",24,34,Season 4
"Sunday, 31 July",20:00 (IST),3/4 Place - Completed ,Telugu Titans,Puneri Paltan,35- 40,"Gachibowli Indoor Stadium, Hyderabad",35,40,Season 4
"Sunday, 31 July",21:15 (IST),Final - Completed ,Patna Pirates,Jaipur Pink Panthers,37- 29,"Gachibowli Indoor Stadium, Hyderabad",37,29,Season 4
