match_date,time,match_status,Team1,Team2,scores,venue,team1_score,team2_score,Season
"Thursday, 12 September",19:30 (IST),Match 86 - Completed ,Jaipur Pink Panthers,Patna Pirates,33- 36,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",33,36,September
"Thursday, 12 September",20:30 (IST),Match 88 - Completed ,Bengal Warriors,Bengaluru Bulls,42- 40,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",42,40,September
"Saturday, 14 September",19:30 (IST),Match 89 - Completed ,Puneri Paltan,Gujarat Fortunegiants,43- 33,"Shree Shiv Chhatrapati Sports Complex, Pune",43,33,September
"Saturday, 14 September",20:30 (IST),Match 90 - Completed ,Tamil Thalaivas,Haryana Steelers,35- 43,"Shree Shiv Chhatrapati Sports Complex, Pune",35,43,September
"Sunday, 15 September",19:30 (IST),Match 91 - Completed ,Dabang Delhi K.C.,Gujarat Fortunegiants,34- 30,"Shree Shiv Chhatrapati Sports Complex, Pune",34,30,September
"Sunday, 15 September",20:30 (IST),Match 92 - Completed ,Puneri Paltan,Patna Pirates,33- 55,"Shree Shiv Chhatrapati Sports Complex, Pune",33,55,September
"Monday, 16 September",19:30 (IST),Match 93 - Completed ,Jaipur Pink Panthers,U.P. Yoddha,32- 38,"Shree Shiv Chhatrapati Sports Complex, Pune",32,38,September
"Monday, 16 September",20:30 (IST),Match 94 - Completed ,Telugu Titans,Dabang Delhi K.C.,29- 37,"Shree Shiv Chhatrapati Sports Complex, Pune",29,37,September
"Wednesday, 18 September",19:30 (IST),Match 95 - Completed ,U Mumba,U.P. Yoddha,39- 36,"Shree Shiv Chhatrapati Sports Complex, Pune",39,36,September
"Wednesday, 18 September",20:30 (IST),Match 96 - Completed ,Puneri Paltan,Tamil Thalaivas,36- 36,"Shree Shiv Chhatrapati Sports Complex, Pune",36,36,September
"Thursday, 19 September",19:30 (IST),Match 97 - Completed ,Bengal Warriors,Haryana Steelers,48- 36,"Shree Shiv Chhatrapati Sports Complex, Pune",48,36,September
"Friday, 20 September",19:30 (IST),Match 98 - Completed ,Telugu Titans,Patna Pirates,42- 42,"Shree Shiv Chhatrapati Sports Complex, Pune",42,42,September
"Friday, 20 September",20:30 (IST),Match 99 - Completed ,Puneri Paltan,Bengaluru Bulls,42- 38,"Shree Shiv Chhatrapati Sports Complex, Pune",42,38,September
"Saturday, 21 September",19:30 (IST),Match 100 - Completed ,Jaipur Pink Panthers,Gujarat Fortunegiants,28- 28,"Sawai Mansingh Stadium, Jaipur",28,28,September
"Saturday, 21 September",20:30 (IST),Match 101 - Completed ,U.P. Yoddha,Tamil Thalaivas,42- 22,"Sawai Mansingh Stadium, Jaipur",42,22,September
"Sunday, 22 September",19:30 (IST),Match 102 - Completed ,U Mumba,Gujarat Fortunegiants,31- 25,"Sawai Mansingh Stadium, Jaipur",31,25,September
"Sunday, 22 September",20:30 (IST),Match 103 - Completed ,Jaipur Pink Panthers,Bengal Warriors,40- 41,"Sawai Mansingh Stadium, Jaipur",40,41,September
"Monday, 23 September",19:30 (IST),Match 104 - Completed ,Patna Pirates,Haryana Steelers,34- 39,"Sawai Mansingh Stadium, Jaipur",34,39,September
"Monday, 23 September",20:30 (IST),Match 105 - Live ,Dabang Delhi K.C.,Bengaluru Bulls,34- 23,"Sawai Mansingh Stadium, Jaipur",34,23,September
"Wednesday, 25 September",19:30 (IST),Match 106 - Upcoming ,Telugu Titans,Bengal Warriors,- ,"Sawai Mansingh Stadium, Jaipur",,,September
"Wednesday, 25 September",20:30 (IST),Match 107 - Upcoming ,Jaipur Pink Panthers,Puneri Paltan,- ,"Sawai Mansingh Stadium, Jaipur",,,September
"Thursday, 26 September",19:30 (IST),Match 108 - Upcoming ,Patna Pirates,Dabang Delhi K.C.,- ,"Sawai Mansingh Stadium, Jaipur",,,September
"Friday, 27 September",19:30 (IST),Match 109 - Upcoming ,U Mumba,Bengaluru Bulls,- ,"Sawai Mansingh Stadium, Jaipur",,,September
"Friday, 27 September",20:30 (IST),Match 110 - Upcoming ,Jaipur Pink Panthers,Telugu Titans,- ,"Sawai Mansingh Stadium, Jaipur",,,September
"Saturday, 28 September",19:30 (IST),Match 111 - Upcoming ,Haryana Steelers,U.P. Yoddha,- ,"Tau Devilal Sports Complex, Panchkula",,,September
"Saturday, 28 September",20:30 (IST),Match 112 - Upcoming ,Gujarat Fortunegiants,Tamil Thalaivas,- ,"Tau Devilal Sports Complex, Panchkula",,,September
"Sunday, 29 September",19:30 (IST),Match 113 - Upcoming ,Puneri Paltan,Dabang Delhi K.C.,- ,"Tau Devilal Sports Complex, Panchkula",,,September
"Sunday, 29 September",20:30 (IST),Match 114 - Upcoming ,Haryana Steelers,Gujarat Fortunegiants,- ,"Tau Devilal Sports Complex, Panchkula",,,September
"Monday, 30 September",19:30 (IST),Match 115 - Upcoming ,Bengal Warriors,Dabang Delhi K.C.,- ,"Tau Devilal Sports Complex, Panchkula",,,September
"Monday, 30 September",20:30 (IST),Match 116 - Upcoming ,Tamil Thalaivas,U Mumba,- ,"Tau Devilal Sports Complex, Panchkula",,,September
